year,team,rank,rating,w:l:sched:10:30,golden mean,predictor,elo score
2007,Ball State,83, 65.90,   7   6   64.55(  94)    0   0  ,  64.93   89 ,  66.63   83,NA
2007,Houston,84, 65.76,   8   5   60.04( 122)    0   1  ,  63.98   94 ,  67.32   80,NA
2007,Wyoming,85, 65.40,   5   7   69.66(  64)    0   0  ,  66.42   83 ,  64.16   88,NA
2007,Northwestern,86, 65.30,   6   6   67.92(  70)    0   0  ,  67.07   80 ,  63.35   90,NA
2007,Wofford,87, 65.24,   9   4   57.68( 133)    0   0  ,  67.05   81 ,  63.26   91,NA
2007,Southern Miss,88, 64.80,   7   6   62.03( 109)    0   0  ,  61.81  100 ,  67.69   73,NA
2007,San Diego State,89, 64.66,   4   8   71.11(  55)    0   0  ,  65.46   87 ,  63.62   89,NA
2007,Notre Dame,90, 64.55,   3   9   75.27(  24)    0   1  ,  65.87   85 ,  63.03   93,NA
2007,Colorado State,91, 64.02,   3   9   71.02(  56)    0   0  ,  61.75  101 ,  66.10   84,NA
2007,Iowa State,92, 63.88,   3   9   75.62(  20)    0   3  ,  64.28   93 ,  63.22   92,NA
2007,Villanova,93, 63.55,   7   4   59.37( 125)    0   0  ,  65.45   88 ,  61.47  100,NA
2007,Elon,94, 62.81,   7   4   60.33( 120)    0   0  ,  64.50   91 ,  60.91  102,NA
2007,Louisiana-Monroe,95, 62.59,   6   6   64.61(  93)    0   0  ,  64.76   90 ,  60.25  107,NA
2007,New Hampshire,96, 62.48,   7   5   57.09( 136)    0   0  ,  62.51   98 ,  62.18   96,NA
2007,Georgia Southern,97, 62.35,   7   4   58.79( 128)    0   0  ,  63.05   95 ,  61.41  101,NA
2007,South Dakota State,98, 62.30,   7   4   53.20( 147)    0   0  ,  59.60  111 ,  64.82   87,NA
2007,Bowling Green,99, 62.27,   8   5   61.85( 111)    0   0  ,  64.46   92 ,  59.91  109,NA
2007,McNeese State,100, 61.81,  11   1   44.69( 185)    0   0  ,  61.22  103 ,  62.14   97,NA
2007,Middle Tennessee,101, 61.78,   5   7   64.97(  90)    0   1  ,  60.75  105 ,  62.55   94,NA
2007,Nevada,102, 61.58,   6   7   62.58( 106)    0   0  ,  60.50  107 ,  62.40   95,NA
2007,Citadel,103, 60.94,   7   4   55.92( 140)    0   0  ,  62.53   97 ,  59.13  114,NA
2007,Montana,104, 60.86,  11   1   44.80( 184)    0   0  ,  62.98   96 ,  58.53  121,NA
2007,Youngstown State,105, 60.83,   7   4   55.00( 141)    0   0  ,  59.47  113 ,  61.94   98,NA
2007,Western Michigan,106, 60.23,   5   7   63.40( 101)    0   2  ,  58.64  117 ,  61.57   99,NA
2007,Furman,107, 60.11,   6   5   58.66( 130)    0   0  ,  61.50  102 ,  58.49  122,NA
2007,Hofstra,108, 59.94,   7   4   54.77( 142)    0   0  ,  59.86  110 ,  59.76  111,NA
2007,Duke,109, 59.70,   1  11   74.54(  28)    0   1  ,  58.47  118 ,  60.66  105,NA
2007,Eastern Washington,110, 59.67,   9   4   52.16( 152)    0   0  ,  58.29  119 ,  60.79  103,NA
2007,Louisiana Tech,111, 59.47,   5   7   65.86(  81)    0   1  ,  60.04  109 ,  58.65  119,NA
2007,San Jose State,112, 59.23,   5   7   65.06(  87)    0   0  ,  60.28  108 ,  57.94  124,NA
2007,Syracuse,113, 59.12,   2  10   74.26(  32)    0   1  ,  60.73  106 ,  57.28  125,NA
2007,Ohio University,114, 59.11,   6   6   58.94( 127)    0   1  ,  58.96  114 ,  58.99  116,NA
2007,Buffalo,115, 58.88,   5   7   62.40( 107)    0   0  ,  59.51  112 ,  57.99  123,NA
2007,Miami-Ohio,116, 58.78,   6   7   63.83(  97)    0   0  ,  61.16  104 ,  56.17  129,NA
2007,Baylor,117, 58.75,   3   9   73.62(  39)    0   2  ,  61.82   99 ,  55.48  133,NA
2007,Western Kentucky,118, 58.71,   7   5   54.08( 145)    0   1  ,  57.71  123 ,  59.45  113,NA
2007,Arkansas State,119, 58.71,   5   7   62.89( 104)    0   0  ,  58.27  120 ,  58.89  117,NA
2007,UNLV,120, 58.63,   2  10   70.75(  58)    0   0  ,  57.11  125 ,  59.90  110,NA
2007,Yale,121, 58.15,   9   1   42.48( 199)    0   0  ,  55.53  131 ,  60.52  106,NA
2007,Western Illinois,122, 57.83,   6   5   56.25( 139)    0   0  ,  58.21  121 ,  57.19  126,NA
2007,Minnesota,123, 57.72,   1  11   71.12(  54)    0   0  ,  54.51  134 ,  60.68  104,NA
2007,Memphis,124, 57.69,   7   6   58.74( 129)    0   0  ,  58.76  115 ,  56.37  128,NA
2007,Marshall,125, 57.60,   3   9   67.71(  73)    0   1  ,  55.89  129 ,  59.04  115,NA
2007,Toledo,126, 57.49,   5   7   63.44( 100)    0   1  ,  58.69  116 ,  56.02  130,NA
2007,Akron,127, 56.67,   4   8   64.05(  96)    0   0  ,  57.34  124 ,  55.74  131,NA
2007,Eastern Michigan,128, 56.25,   4   8   62.87( 105)    0   0  ,  56.82  126 ,  55.41  134,NA
2007,Liberty,129, 56.10,   8   3   42.73( 197)    0   0  ,  51.69  141 ,  60.21  108,NA
2007,UTEP,130, 55.94,   4   8   60.40( 119)    0   0  ,  52.81  138 ,  58.78  118,NA
2007,Army,131, 55.51,   3   9   67.21(  77)    0   0  ,  56.36  127 ,  54.40  135,NA
2007,Harvard,132, 54.77,   8   2   45.04( 180)    0   0  ,  52.65  139 ,  56.62  127,NA
2007,Holy Cross,133, 54.72,   7   4   47.22( 171)    0   0  ,  50.44  148 ,  58.63  120,NA
2007,Dayton,134, 54.44,  11   1   35.77( 227)    0   0  ,  55.00  133 ,  53.60  137,NA
2007,Temple,135, 54.31,   4   8   61.81( 112)    0   0  ,  55.66  130 ,  52.67  142,NA
2007,Eastern Kentucky,136, 54.07,   9   3   44.91( 182)    0   0  ,  56.31  128 ,  51.51  148,NA
2007,Louisiana-Lafayette,137, 53.98,   3   9   65.00(  88)    0   0  ,  54.26  135 ,  53.43  139,NA
2007,Cal Poly-SLO,138, 53.74,   7   4   45.72( 177)    0   0  ,  47.22  170 ,  59.66  112,NA
2007,Kent State,139, 53.41,   3   9   63.27( 102)    0   0  ,  53.39  136 ,  53.16  140,NA
2007,William &amp; Mary,140, 53.40,   4   7   60.82( 118)    0   1  ,  55.36  132 ,  51.12  153,NA
2007,Tulane,141, 52.97,   4   8   60.90( 117)    0   1  ,  51.47  142 ,  54.19  136,NA
2007,Utah State,142, 52.55,   2  10   66.77(  79)    0   1  ,  49.05  159 ,  55.66  132,NA
2007,Delaware State,143, 52.43,  10   2   42.82( 196)    0   0  ,  57.99  122 ,  46.12  176,NA
2007,Sam Houston State,144, 51.77,   7   4   52.02( 153)    0   0  ,  51.83  140 ,  51.44  149,NA
2007,Northeastern,145, 51.75,   3   8   59.51( 124)    0   0  ,  51.43  143 ,  51.81  147,NA
2007,UC Davis,146, 51.35,   5   6   52.89( 149)    0   0  ,  50.30  152 ,  52.13  144,NA
2007,Illinois State,147, 51.03,   4   7   54.72( 143)    0   1  ,  48.74  162 ,  53.00  141,NA
2007,Fordham,148, 51.03,   8   4   44.43( 188)    0   0  ,  50.80  146 ,  50.99  155,NA
2007,Missouri State,149, 50.98,   6   5   51.76( 154)    0   0  ,  53.10  137 ,  48.49  165,NA
2007,Northern Illinois,150, 50.86,   2  10   61.94( 110)    0   0  ,  47.88  165 ,  53.45  138,NA
2007,SC State,151, 50.81,   7   4   45.74( 176)    0   0  ,  50.37  150 ,  50.98  156,NA
2007,Rice,152, 50.78,   3   9   62.10( 108)    0   0  ,  49.28  157 ,  51.98  146,NA
2007,New Mexico State,153, 50.73,   4   9   61.04( 116)    0   0  ,  49.06  158 ,  52.10  145,NA
2007,Grambling,154, 50.46,   8   4   43.99( 191)    0   0  ,  50.37  151 ,  50.28  159,NA
2007,Colgate,155, 50.41,   7   4   46.05( 174)    0   0  ,  49.35  155 ,  51.20  152,NA
2007,Albany-NY,156, 50.24,   8   4   42.03( 203)    0   0  ,  50.76  147 ,  49.43  161,NA
2007,UAB,157, 50.23,   2  10   65.20(  84)    0   0  ,  48.83  160 ,  51.35  150,NA
2007,Northern Arizona,158, 50.03,   6   5   51.56( 156)    0   0  ,  48.77  161 ,  51.02  154,NA
2007,Chattanooga,159, 49.66,   2   9   61.08( 114)    0   0  ,  47.73  167 ,  51.26  151,NA
2007,Rhode Island,160, 49.38,   3   8   59.15( 126)    0   0  ,  50.39  149 ,  48.07  166,NA
2007,Maine,161, 49.29,   4   7   56.45( 138)    0   0  ,  51.22  144 ,  46.97  171,NA
2007,Central Arkansas,162, 48.76,   6   5   48.12( 167)    0   0  ,  49.45  154 ,  47.78  169,NA
2007,Towson,163, 48.73,   3   8   56.71( 137)    0   0  ,  48.49  163 ,  48.71  164,NA
2007,San Diego,164, 48.72,   9   2   33.47( 235)    0   0  ,  47.82  166 ,  49.34  162,NA
2007,Jackson State,165, 48.70,   8   4   38.84( 218)    0   0  ,  50.81  145 ,  46.18  174,NA
2007,Stony Brook,166, 48.15,   6   5   48.74( 164)    0   0  ,  49.33  156 ,  46.65  172,NA
2007,Lafayette,167, 48.11,   7   4   41.01( 206)    0   0  ,  44.94  176 ,  50.82  157,NA
2007,North Texas,168, 47.45,   2  10   64.86(  91)    0   1  ,  48.40  164 ,  46.19  173,NA
2007,SMU,169, 47.44,   1  11   63.04( 103)    0   0  ,  41.32  186 ,  52.50  143,NA
2007,Fla. International,170, 47.42,   1  11   69.12(  66)    0   1  ,  47.45  169 ,  47.12  170,NA
2007,Lehigh,171, 47.05,   5   6   46.00( 175)    0   0  ,  43.67  179 ,  49.93  160,NA
2007,Nicholls State,172, 47.01,   6   5   48.55( 165)    0   0  ,  45.92  174 ,  47.82  168,NA
2007,Eastern Illinois,173, 46.54,   8   4   42.22( 202)    0   0  ,  47.10  171 ,  45.69  178,NA
2007,Norfolk State,174, 46.19,   8   3   42.57( 198)    0   0  ,  49.45  153 ,  42.22  193,NA
2007,Idaho,175, 45.97,   1  11   64.78(  92)    0   1  ,  40.39  189 ,  50.53  158,NA
2007,Alabama A&amp;M,176, 45.78,   8   3   38.49( 219)    0   0  ,  47.57  168 ,  43.58  183,NA
2007,Montana State,177, 45.33,   6   5   47.70( 169)    0   0  ,  44.27  177 ,  46.12  175,NA
2007,Southern University,178, 45.26,   8   3   37.22( 222)    0   0  ,  46.57  172 ,  43.60  182,NA
2007,Hampton,179, 44.86,   6   5   41.94( 204)    0   0  ,  43.57  180 ,  45.86  177,NA
2007,Brown,180, 44.71,   5   5   43.91( 192)    0   0  ,  40.92  187 ,  47.87  167,NA
2007,Texas State,181, 44.60,   4   7   49.40( 163)    0   0  ,  44.96  175 ,  43.97  181,NA
2007,Prairie View A&amp;M,182, 44.57,   7   3   37.03( 223)    0   0  ,  46.35  173 ,  42.37  191,NA
2007,Coastal Carolina,183, 44.51,   5   6   48.10( 168)    0   0  ,  44.00  178 ,  44.76  180,NA
2007,Weber State,184, 43.96,   5   6   49.84( 161)    0   0  ,  42.38  182 ,  45.22  179,NA
2007,Pennsylvania,185, 43.94,   4   6   44.89( 183)    0   0  ,  37.81  200 ,  48.77  163,NA
2007,Western Carolina,186, 42.55,   1  10   63.60(  98)    0   1  ,  41.86  184 ,  42.97  187,NA
2007,Jacksonville State,187, 42.22,   6   5   40.02( 213)    0   0  ,  40.61  188 ,  43.50  184,NA
2007,Gardner-Webb,188, 41.96,   5   6   46.55( 173)    0   0  ,  42.71  181 ,  40.88  197,NA
2007,Winston-Salem State,189, 41.51,   6   5   39.07( 216)    0   0  ,  41.48  185 ,  41.26  196,NA
2007,Cornell,190, 41.50,   5   5   42.36( 201)    0   0  ,  39.54  193 ,  43.09  186,NA
2007,Sacramento State,191, 41.07,   3   8   51.58( 155)    0   0  ,  39.55  192 ,  42.27  192,NA
2007,Portland State,192, 40.92,   3   8   49.80( 162)    0   0  ,  38.57  196 ,  42.84  188,NA
2007,Princeton,193, 40.88,   4   6   45.44( 178)    0   0  ,  38.90  194 ,  42.49  190,NA
2007,Northwestern State,194, 40.86,   4   7   52.90( 148)    0   0  ,  42.02  183 ,  39.34  198,NA
2007,Dartmouth,195, 40.39,   3   7   48.25( 166)    0   0  ,  36.86  205 ,  43.23  185,NA
2007,SE Louisiana,196, 39.49,   3   8   52.60( 151)    0   1  ,  37.20  203 ,  41.35  195,NA
2007,Tennessee-Martin,197, 38.86,   4   7   40.59( 208)    0   0  ,  33.73  211 ,  42.78  189,NA
2007,Alabama State,198, 38.13,   5   6   39.29( 215)    0   0  ,  40.35  190 ,  35.24  210,NA
2007,Davidson,199, 38.06,   6   4   35.12( 231)    0   0  ,  38.17  198 ,  37.67  201,NA
2007,Ark.-Pine Bluff,200, 38.03,   4   7   43.64( 193)    0   0  ,  38.44  197 ,  37.32  203,NA
2007,Tennessee State,201, 37.95,   5   6   40.14( 212)    0   0  ,  37.97  199 ,  37.67  202,NA
2007,Morehead State,202, 37.77,   7   4   35.38( 230)    0   0  ,  39.59  191 ,  35.40  208,NA
2007,Drake,203, 37.65,   6   5   40.50( 209)    0   0  ,  38.69  195 ,  36.24  206,NA
2007,Southern Utah,204, 37.58,   0  11   61.06( 115)    0   0  ,  31.72  215 ,  41.87  194,NA
2007,Morgan State,205, 37.56,   5   6   37.00( 224)    0   0  ,  36.68  206 ,  38.15  200,NA
2007,Presbyterian College,206, 36.98,   6   5   43.23( 194)    0   0  ,  37.18  204 ,  36.49  205,NA
2007,Austin Peay,207, 36.55,   7   4   35.56( 228)    0   0  ,  37.50  202 ,  35.24  211,NA
2007,Idaho State,208, 36.24,   3   8   50.90( 159)    0   0  ,  35.05  207 ,  37.12  204,NA
2007,Monmouth-NJ,209, 35.94,   4   6   38.43( 220)    0   0  ,  32.31  213 ,  38.75  199,NA
2007,Charleston Southern,210, 35.33,   5   6   47.00( 172)    0   0  ,  37.52  201 ,  32.41  216,NA
2007,Bethune-Cookman,211, 35.13,   5   6   35.55( 229)    0   0  ,  34.07  209 ,  35.89  207,NA
2007,Central Connecticut,212, 33.66,   6   5   38.39( 221)    0   0  ,  35.00  208 ,  31.86  219,NA
2007,Howard,213, 33.54,   4   7   41.73( 205)    0   0  ,  33.75  210 ,  33.04  215,NA
2007,Bucknell,214, 33.50,   3   8   44.04( 190)    0   0  ,  33.16  212 ,  33.58  213,NA
2007,Florida A&amp;M,215, 32.99,   3   8   40.20( 211)    0   0  ,  32.25  214 ,  33.45  214,NA
2007,Samford,216, 32.02,   4   7   42.39( 200)    0   0  ,  31.55  216 ,  32.22  217,NA
2007,Tennessee Tech,217, 31.77,   4   7   44.63( 186)    0   0  ,  28.58  225 ,  34.21  212,NA
2007,Iona,218, 30.97,   7   4   30.39( 238)    0   0  ,  30.33  219 ,  31.33  221,NA
2007,Columbia,219, 30.95,   1   9   44.39( 189)    0   0  ,  24.33  231 ,  35.28  209,NA
2007,Alcorn State,220, 30.92,   2   8   40.95( 207)    0   0  ,  29.67  222 ,  31.85  220,NA
2007,Northern Colorado,221, 30.26,   1  11   51.49( 157)    0   0  ,  29.76  220 ,  30.49  222,NA
2007,Wagner,222, 29.91,   7   4   25.94( 242)    0   0  ,  30.69  217 ,  28.76  225,NA
2007,Robert Morris,223, 29.57,   4   6   33.93( 234)    0   0  ,  29.71  221 ,  29.14  224,NA
2007,Duquesne,224, 29.54,   6   4   27.11( 240)    0   0  ,  29.37  223 ,  29.45  223,NA
2007,Stephen F. Austin,225, 29.54,   0  11   52.84( 150)    0   0  ,  26.05  228 ,  32.14  218,NA
2007,Miss. Valley State,226, 28.42,   3   8   39.96( 214)    0   0  ,  30.41  218 ,  25.63  231,NA
2007,VMI,227, 27.58,   2   9   47.25( 170)    0   0  ,  28.38  226 ,  26.41  227,NA
2007,NC Central,228, 27.03,   6   4   34.70( 232)    0   0  ,  27.49  227 ,  26.24  228,NA
2007,Murray State,229, 26.42,   2   9   44.57( 187)    0   0  ,  24.19  232 ,  28.13  226,NA
2007,Valparaiso,230, 26.30,   5   6   36.07( 226)    0   0  ,  28.60  224 ,  22.98  232,NA
2007,SE Missouri State,231, 25.93,   3   8   42.98( 195)    0   0  ,  25.55  230 ,  26.03  229,NA
2007,Georgetown,232, 25.92,   1  10   45.42( 179)    0   0  ,  25.76  229 ,  25.82  230,NA
2007,Jacksonville,233, 22.64,   3   8   36.57( 225)    0   0  ,  24.16  233 ,  20.46  235,NA
2007,St. Francis-Pa.,234, 21.92,   3   7   32.19( 237)    0   0  ,  23.80  234 ,  19.16  237,NA
2007,Marist,235, 20.46,   3   8   32.32( 236)    0   0  ,  21.56  235 ,  18.86  238,NA
2007,Texas Southern,236, 19.87,   0  11   44.96( 181)    0   0  ,  16.33  237 ,  22.34  234,NA
2007,NC A&amp;T,237, 19.59,   0  11   40.37( 210)    0   0  ,  14.34  240 ,  22.87  233,NA
2007,Indiana State,238, 19.30,   0  11   54.09( 144)    0   0  ,  20.06  236 ,  18.13  239,NA
2007,Sacred Heart,239, 18.27,   3   8   28.31( 239)    0   0  ,  16.19  238 ,  19.80  236,NA
2007,Butler,240, 15.78,   4   7   39.04( 217)    0   0  ,  14.62  239 ,  16.60  240,NA
2007,Savannah State,241,  8.98,   1   9   34.24( 233)    0   0  ,  11.75  241 ,   3.61  241,NA
2007,La Salle,242,  0.89,   0  10   26.04( 241)    0   0  ,   4.09  242 ,  -7.87  242,NA
2008,Florida,1, 98.74,  13   1   76.87(   4)    2   1  ,  95.76    2 , 102.62    1,NA
2008,Southern California,2, 94.85,  12   1   75.23(  16)    1   0  ,  90.60    5 , 102.16    2,NA
2008,Oklahoma,3, 94.15,  12   2   76.38(   7)    2   2  ,  91.12    4 ,  97.91    3,NA
2008,Texas,4, 93.50,  12   1   75.47(  14)    1   1  ,  91.62    3 ,  95.25    4,NA
2008,Utah,5, 91.37,  13   0   70.85(  56)    2   0  ,  96.73    1 ,  87.75   10,NA
2008,Alabama,6, 89.48,  12   2   73.83(  28)    1   2  ,  89.52    6 ,  89.00    6,NA
2008,TCU,7, 89.09,  11   2   69.77(  69)    0   2  ,  88.75    7 ,  88.98    7,NA
2008,Penn State,8, 88.26,  11   2   71.19(  55)    0   1  ,  84.07   13 ,  94.30    5,NA
2008,Texas Tech,9, 86.75,  11   2   73.83(  27)    1   2  ,  85.93    9 ,  87.15   12,NA
2008,Mississippi,10, 86.28,   9   4   74.65(  20)    2   1  ,  84.88   10 ,  87.34   11,NA
2008,Oregon,11, 85.47,  10   3   74.15(  22)    0   1  ,  84.72   11 ,  85.78   14,NA
2008,Boise State,12, 85.13,  12   1   64.86(  94)    0   1  ,  83.76   15 ,  86.13   13,NA
2008,Oregon State,13, 85.11,   9   4   76.34(   8)    1   2  ,  84.25   12 ,  85.54   15,NA
2008,Ohio State,14, 84.83,  10   3   72.24(  46)    0   3  ,  82.00   17 ,  87.87    9,NA
2008,Georgia,15, 84.81,  10   3   75.98(  11)    0   2  ,  85.98    8 ,  83.36   21,NA
2008,California,16, 83.58,   9   4   74.07(  24)    0   1  ,  81.90   18 ,  84.96   16,NA
2008,Florida State,17, 83.18,   9   4   71.96(  48)    0   1  ,  82.17   16 ,  83.78   19,NA
2008,Virginia Tech,18, 82.93,  10   4   73.89(  26)    0   0  ,  84.01   14 ,  81.54   23,NA
2008,Missouri,19, 82.80,  10   4   72.33(  45)    0   2  ,  80.74   22 ,  84.65   17,NA
2008,Oklahoma State,20, 82.16,   9   4   72.65(  43)    0   3  ,  80.41   24 ,  83.61   20,NA
2008,LSU,21, 81.96,   8   5   73.34(  33)    0   3  ,  81.15   20 ,  82.34   22,NA
2008,Iowa,22, 81.79,   9   4   70.08(  63)    1   0  ,  77.10   37 ,  88.20    8,NA
2008,Nebraska,23, 80.70,   9   4   72.89(  38)    0   2  ,  80.81   21 ,  80.16   25,NA
2008,Arizona,24, 80.50,   8   5   70.63(  57)    0   1  ,  77.21   35 ,  84.11   18,NA
2008,Wake Forest,25, 79.43,   8   5   76.16(   9)    1   0  ,  79.56   26 ,  78.86   29,NA
2008,West Virginia,26, 79.27,   9   4   72.09(  47)    0   0  ,  79.94   25 ,  78.21   32,NA
2008,Pittsburgh,27, 79.03,   9   4   74.00(  25)    0   0  ,  79.09   27 ,  78.53   31,NA
2008,Boston College,28, 78.94,   9   5   73.02(  35)    0   0  ,  78.60   28 ,  78.82   30,NA
2008,North Carolina,29, 78.88,   8   5   74.32(  21)    0   0  ,  78.22   33 ,  79.08   27,NA
2008,Clemson,30, 78.87,   7   6   73.83(  29)    0   1  ,  76.73   41 ,  80.78   24,NA
2008,Kansas,31, 78.80,   8   5   72.81(  39)    0   3  ,  78.24   32 ,  78.91   28,NA
2008,BYU,32, 78.66,  10   3   69.05(  74)    0   2  ,  77.55   34 ,  79.36   26,NA
2008,Michigan State,33, 78.17,   9   4   72.73(  41)    0   1  ,  78.37   31 ,  77.54   34,NA
2008,Cincinnati,34, 77.89,  11   3   70.33(  60)    0   1  ,  81.32   19 ,  74.73   43,NA
2008,Miami-Florida,35, 77.42,   7   6   75.38(  15)    0   1  ,  77.21   36 ,  77.18   35,NA
2008,Georgia Tech,36, 77.13,   9   4   72.79(  40)    0   0  ,  80.49   23 ,  74.00   46,NA
2008,Rutgers,37, 77.11,   8   5   69.09(  73)    0   0  ,  76.88   38 ,  76.89   36,NA
2008,South Carolina,38, 77.06,   7   6   77.13(   3)    1   1  ,  76.82   40 ,  76.84   37,NA
2008,Vanderbilt,39, 76.47,   7   6   75.70(  13)    1   1  ,  78.44   29 ,  74.32   45,NA
2008,Connecticut,40, 76.40,   8   5   71.27(  53)    0   0  ,  76.34   43 ,  76.01   38,NA
2008,Richmond,41, 76.23,  13   3   60.52( 126)    0   0  ,  76.06   45 ,  75.96   39,NA
2008,Tulsa,42, 75.98,  11   3   63.55( 109)    0   0  ,  73.83   52 ,  77.88   33,NA
2008,South Florida,43, 75.67,   8   5   69.41(  71)    0   0  ,  75.17   47 ,  75.70   40,NA
2008,Northwestern,44, 75.18,   9   4   69.50(  70)    0   0  ,  74.34   50 ,  75.59   41,NA
2008,James Madison,45, 74.98,  12   2   61.70( 121)    0   0  ,  76.57   42 ,  73.13   52,NA
2008,Maryland,46, 74.83,   8   5   73.01(  36)    0   0  ,  78.44   30 ,  71.45   65,NA
2008,Virginia,47, 74.77,   5   7   78.13(   2)    0   1  ,  76.09   44 ,  73.14   51,NA
2008,Rice,48, 74.76,  10   3   66.05(  88)    0   1  ,  76.83   39 ,  72.50   57,NA
2008,Kentucky,49, 74.41,   7   6   70.48(  59)    0   2  ,  75.81   46 ,  72.70   54,NA
2008,Stanford,50, 74.01,   5   7   75.87(  12)    0   2  ,  72.45   60 ,  75.20   42,NA
2008,Navy,51, 73.87,   8   5   68.19(  80)    0   0  ,  72.71   57 ,  74.61   44,NA
2008,Houston,52, 73.79,   8   5   65.84(  91)    0   0  ,  73.26   54 ,  73.86   47,NA
2008,Notre Dame,53, 73.75,   7   6   71.61(  50)    0   1  ,  73.35   53 ,  73.69   48,NA
2008,East Carolina,54, 73.44,   9   5   69.80(  67)    0   0  ,  74.86   48 ,  71.71   61,NA
2008,NC State,55, 73.34,   6   7   76.05(  10)    0   0  ,  74.52   49 ,  71.82   60,NA
2008,Air Force,56, 72.95,   8   5   68.95(  75)    0   2  ,  72.45   61 ,  72.99   53,NA
2008,Duke,57, 72.35,   4   8   76.50(   6)    0   0  ,  72.68   59 ,  71.59   63,NA
2008,Tennessee,58, 71.95,   5   7   73.40(  31)    0   2  ,  70.83   65 ,  72.64   56,NA
2008,Arizona State,59, 71.84,   5   7   73.38(  32)    0   1  ,  69.84   67 ,  73.51   49,NA
2008,Auburn,60, 71.69,   5   7   72.99(  37)    0   2  ,  71.83   63 ,  71.10   66,NA
2008,Wisconsin,61, 71.53,   7   6   71.34(  52)    0   1  ,  71.00   64 ,  71.60   62,NA
2008,Montana,62, 71.52,  14   2   55.94( 146)    0   0  ,  72.90   56 ,  69.80   69,NA
2008,Villanova,63, 71.24,  10   3   61.20( 122)    0   0  ,  72.68   58 ,  69.47   71,NA
2008,Arkansas,64, 71.22,   5   7   76.61(   5)    0   4  ,  74.31   51 ,  68.11   74,NA
2008,Ball State,65, 71.12,  12   2   60.67( 125)    0   0  ,  70.27   66 ,  71.53   64,NA
2008,Baylor,66, 71.06,   4   8   75.01(  17)    0   3  ,  68.52   75 ,  73.36   50,NA
2008,Southern Miss,67, 70.57,   7   6   66.62(  85)    0   0  ,  68.79   72 ,  71.98   59,NA
2008,Illinois,68, 70.07,   5   7   70.30(  61)    0   1  ,  67.45   82 ,  72.46   58,NA
2008,Appalachian State,69, 70.00,  11   3   57.45( 140)    0   0  ,  69.28   70 ,  70.26   67,NA
2008,Troy,70, 69.84,   8   5   62.27( 117)    0   0  ,  66.84   85 ,  72.69   55,NA
2008,Nevada,71, 69.74,   7   6   66.60(  86)    0   1  ,  69.53   69 ,  69.49   70,NA
2008,Colorado,72, 69.36,   5   7   74.83(  19)    0   1  ,  72.45   62 ,  66.20   81,NA
2008,Colorado State,73, 68.74,   7   6   70.58(  58)    0   2  ,  73.19   55 ,  64.52   91,NA
2008,Kansas State,74, 68.69,   5   7   70.18(  62)    0   2  ,  67.95   81 ,  68.99   72,NA
2008,Minnesota,75, 68.46,   7   6   68.68(  79)    0   0  ,  68.42   76 ,  68.05   75,NA
2008,Buffalo,76, 68.26,   8   6   65.66(  92)    0   0  ,  68.19   78 ,  67.88   76,NA
2008,Wofford,77, 67.95,   9   3   56.57( 142)    0   0  ,  67.33   83 ,  68.12   73,NA
2008,Purdue,78, 67.89,   4   8   71.73(  49)    0   1  ,  65.48   95 ,  69.98   68,NA
2008,Western Michigan,79, 67.49,   9   4   62.39( 116)    0   0  ,  69.66   68 ,  65.04   88,NA
2008,UCLA,80, 66.91,   4   8   74.95(  18)    0   1  ,  68.26   77 ,  65.18   86,NA
2008,New Hampshire,81, 66.76,  10   3   56.43( 143)    0   0  ,  65.98   90 ,  67.09   78,NA
2008,William &amp; Mary,82, 66.66,   7   4   58.00( 137)    0   0  ,  66.00   89 ,  66.86   79,NA
2008,Northern Iowa,83, 66.34,  12   3   52.84( 159)    0   0  ,  65.86   93 ,  66.35   80,NA
2008,New Mexico,84, 66.29,   4   8   71.25(  54)    0   2  ,  65.93   91 ,  66.19   82,NA
2008,Weber State,85, 66.28,  10   4   60.25( 127)    0   1  ,  67.08   84 ,  65.06   87,NA
2008,Fresno State,86, 65.70,   7   6   65.93(  90)    0   0  ,  68.01   80 ,  63.10   94,NA
2008,Louisiana Tech,87, 65.44,   8   5   63.13( 112)    0   0  ,  68.84   71 ,  61.91  100,NA
2008,Bowling Green,88, 65.29,   6   6   63.83( 106)    0   0  ,  62.60  102 ,  67.66   77,NA
2008,Texas A&amp;M,89, 65.14,   4   8   73.64(  30)    0   3  ,  66.03   88 ,  63.84   92,NA
2008,UTEP,90, 65.11,   5   7   67.96(  82)    0   1  ,  65.22   97 ,  64.54   90,NA
2008,Hawaii,91, 65.04,   7   7   68.86(  76)    0   1  ,  68.19   79 ,  61.69  101,NA
2008,Louisville,92, 64.95,   5   7   68.17(  81)    0   0  ,  68.78   74 ,  61.02  105,NA
2008,Mississippi State,93, 64.91,   4   8   72.73(  42)    0   2  ,  68.79   73 ,  60.95  106,NA
2008,UNLV,94, 64.84,   5   7   69.82(  66)    0   2  ,  66.40   86 ,  62.91   95,NA
2008,Michigan,95, 64.28,   3   9   72.61(  44)    0   2  ,  62.36  105 ,  65.79   83,NA
2008,Central Michigan,96, 64.03,   8   5   63.27( 110)    0   0  ,  65.35   96 ,  62.30   97,NA
2008,Cal Poly-SLO,97, 63.82,   8   3   52.15( 162)    0   0  ,  61.88  109 ,  65.35   85,NA
